[2025-09-11 12:31:47,407] 19 root - INFO - Initiate the data ingestion
[2025-09-11 12:31:48,778] 66 root - INFO - Performed train test split on the dataframe
[2025-09-11 12:31:48,778] 68 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[2025-09-11 12:31:48,778] 75 root - INFO - Exporting train and test file path
[2025-09-11 12:31:48,833] 84 root - INFO - Exported train and test file path
[2025-09-11 12:31:48,834] 21 root - INFO - Data Initiation Completed
[2025-09-11 12:31:48,852] 25 root - INFO - Initiate the data Validation
[2025-09-11 12:31:48,908] 32 root - INFO - Required number of columns:2
[2025-09-11 12:31:48,908] 33 root - INFO - Data frame has columns:31
[2025-09-11 12:31:48,909] 32 root - INFO - Required number of columns:2
[2025-09-11 12:31:48,909] 33 root - INFO - Data frame has columns:31
[2025-09-11 12:31:49,052] 27 root - INFO - data Validation Completed
[2025-09-11 12:31:49,054] 30 root - INFO - data Transformation started
[2025-09-11 12:31:49,054] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-11 12:31:49,054] 65 root - INFO - Starting data transformation
[2025-09-11 12:31:49,073] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-11 12:31:49,073] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-11 12:31:49,085] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 12:31:49,087] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 12:31:49,087] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 12:31:49,089] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 12:31:49,091] 34 root - INFO - data Transformation completed
[2025-09-11 12:31:49,091] 36 root - INFO - Model Training started
[2025-09-11 12:35:01,241] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 12:35:01,243] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 12:35:01,244] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-11 12:35:01,283] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-11 12:35:01,283] 109 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_11_2025_12_31_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908462164361269, precision_score=0.9890355329949239, recall_score=0.9926635418789485), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.977760127084988, precision_score=0.9708201892744479, recall_score=0.9848))
[2025-09-11 12:35:01,286] 41 root - INFO - Model Training artifact created
